snapshot_date,study_id,study_key,s1,s2,empirical_status,design,design_status,q1,q2,q3,q4,q5,assessment_basis,source_id,page_or_section,reviewer,review_date,adjudication_status,assessment_status,notes,criterion_evidence
2026-08-31,1,Math2021_001,Y,Y,empirical_abstract_only,quantitative_descriptive,abstract_based,Y,CT,Y,CT,CT,abstract_and_metadata_only,PS-001,Abstract; methods and validation details unavailable,single_reviewer,2026-08-31,supervisor_review_pending,provisional_abstract_plus_metadata,Abstract states a clear PISA prediction objective and model comparison; representativeness nonresponse and validation require the full paper,S1=Y objective stated;S2=Y PISA data and prediction task aligned;Q1=Y dataset relevant;Q2=CT population sampling unclear;Q3=Y proficiency and background variables identified;Q4=CT nonresponse not reported;Q5=CT model validation details unavailable
2026-08-31,2,Implementation2025_000,Y,Y,empirical_confirmed_external,quantitative_descriptive,primary_text_reviewed_external,Y,N,Y,CT,Y,primary_full_text_reviewed_externally,PS-002,Abstract; Methodology; Results; Limitations,single_reviewer,2026-08-31,supervisor_review_pending,provisional_primary_source_review,One private elementary school with 280 students limits representativeness; 5-fold validation and test evaluation are described but nonresponse is not reported,S1=Y aim and prediction question explicit;S2=Y dataset and classifiers address aim;Q1=Y school dataset is relevant;Q2=N one private school is not representative of broad target population;Q3=Y academic and demographic measures are defined;Q4=CT nonresponse not reported;Q5=Y holdout and cross-validation with performance metrics described
2026-08-31,3,Multimodels2020_002,Y,Y,empirical_confirmed_external,quantitative_descriptive,primary_text_reviewed_external,Y,CT,Y,CT,Y,primary_full_text_reviewed_externally,PS-003,Abstract; Data Collection and Preprocessing; Experimental Results,single_reviewer,2026-08-31,supervisor_review_pending,provisional_primary_source_review,Questionnaire data from Cambodian high schools and comparative model evaluation are described; population representativeness and nonresponse remain unclear,S1=Y aim and research task explicit;S2=Y observed educational factors and outcomes address aim;Q1=Y questionnaire and school data are relevant;Q2=CT school selection and population coverage unclear;Q3=Y factors and mathematics performance are operationalized;Q4=CT nonresponse not reported;Q5=Y comparative metrics and model evaluation described
2026-08-31,4,Analysis2022_003,Y,Y,empirical_confirmed_external,quantitative_descriptive,primary_text_reviewed_external,Y,CT,Y,CT,CT,primary_full_text_reviewed_externally,PS-004,Abstract; Dataset Description; Data Pre-processing; Experimental Results,single_reviewer,2026-08-31,supervisor_review_pending,provisional_primary_source_review,Two Portuguese school datasets and the classifier comparison are visible in the external full text; sampling representativeness nonresponse and validation protocol remain insufficiently described,S1=Y objective stated;S2=Y datasets and prediction methods aligned;Q1=Y educational datasets relevant;Q2=CT target population and sampling unclear;Q3=Y grades demographics and predictors identified;Q4=CT nonresponse unavailable;Q5=CT validation protocol not located in the reviewed text
2026-08-31,5,Design2025_004,Y,Y,empirical_abstract_only,quantitative_nonrandomized,abstract_based,CT,CT,CT,CT,CT,abstract_and_metadata_only,PS-005,Abstract; full methods unavailable,single_reviewer,2026-08-31,supervisor_review_pending,provisional_abstract_plus_metadata,Abstract reports a control-group comparison but does not establish allocation measurement completeness confounding control or adherence,S1=Y objective apparent from abstract;S2=Y learning-path comparison addresses objective;Q1=CT participants and allocation unclear;Q2=CT outcome and intervention measurement unclear;Q3=CT completeness unavailable;Q4=CT confounder control unavailable;Q5=CT implementation and adherence unavailable
2026-08-31,6,Identifying2017_006,Y,Y,empirical_confirmed_external,quantitative_descriptive,primary_text_reviewed_external,Y,CT,Y,CT,Y,primary_full_text_reviewed_externally,PS-006,Abstract; Data and Sample; Model Construction; Results,single_reviewer,2026-08-31,supervisor_review_pending,provisional_primary_source_review,TIMSS 2011 data and 6250 final observations are documented; the paper does not fully establish sampling weights or nonresponse handling for this appraisal,S1=Y research aim and comparison explicit;S2=Y TIMSS factors and classification task aligned;Q1=Y secondary assessment data relevant;Q2=CT representativeness and weighting not fully documented;Q3=Y mathematics achievement and student factors measured;Q4=CT exclusions and nonresponse disposition require clarification;Q5=Y multiple algorithms and performance measures reported
2026-08-31,7,Innovative2023_005,Y,Y,empirical_confirmed_external,quantitative_nonrandomized,primary_text_reviewed_external,CT,CT,Y,CT,Y,primary_full_text_reviewed_externally,PS-007,Abstract; Smart Teaching Model; Experimental and Control Groups; Results,single_reviewer,2026-08-31,supervisor_review_pending,provisional_primary_source_review,Experimental and control groups are reported without clear randomization or confounder strategy; the source also contains inconsistent sample and time descriptions,S1=Y purpose and comparison explicit;S2=Y pre/post scores and teaching intervention address aim;Q1=CT group recruitment and target population unclear;Q2=CT score and satisfaction instruments insufficiently described;Q3=Y pre/post outcomes reported;Q4=CT nonresponse and confounding unclear;Q5=Y teaching model exposure is described
2026-08-31,8,Computational2017_008,Y,Y,empirical_confirmed_external,quantitative_nonrandomized,primary_text_reviewed_external,CT,CT,CT,CT,CT,primary_full_text_reviewed_externally,PS-008,Abstract; Experimental Design Task; Model Evaluation; Cross-Domain Evaluation,single_reviewer,2026-08-31,supervisor_review_pending,provisional_primary_source_review,The dissertation contains several simulation and human-data evaluations rather than one simple intervention; criteria remain CT where the heterogeneous designs do not support a single judgment,S1=Y research objectives explicit;S2=Y model and human data address the objectives;Q1=CT participant sampling varies by tutor study;Q2=CT outcomes and exposures vary across chapters;Q3=CT completeness not uniform across datasets;Q4=CT confounding is not a single estimand;Q5=CT adherence and intervention exposure vary across studies
2026-08-31,9,Machine2019_007,Y,Y,empirical_abstract_only,quantitative_descriptive,abstract_based,Y,CT,Y,CT,Y,abstract_and_metadata_only,PS-009,Abstract; full methods unavailable,single_reviewer,2026-08-31,supervisor_review_pending,provisional_abstract_plus_metadata,Benchmark and student surveys are reported but the institutional context and full sampling and validation procedures require the paper,S1=Y predictive and feedback aims explicit;S2=Y benchmark and survey data address stated aims;Q1=Y data and methods relevant;Q2=CT target population and sampling unclear;Q3=Y algorithm performance and survey feedback measured;Q4=CT nonresponse unavailable;Q5=Y comparative benchmarking is appropriate in principle
2026-08-31,10,Machine2024_009,Y,Y,empirical_abstract_only,quantitative_descriptive,abstract_based,Y,CT,Y,CT,CT,abstract_and_metadata_only,PS-010,Abstract; full methods unavailable,single_reviewer,2026-08-31,supervisor_review_pending,provisional_abstract_plus_metadata,Abstract identifies an educational information-system dataset and decision-tree task but does not establish representativeness nonresponse or validation details,S1=Y aim stated;S2=Y academic performance prediction aligned;Q1=Y institutional data relevant;Q2=CT population coverage unclear;Q3=Y pass fail and conditional outcomes identified;Q4=CT nonresponse unavailable;Q5=CT validation protocol unavailable
